タイムスタンプ,団体名,団体画像,団体のSNSリンク（インスタ）,日程画像のアップロード,場所①での新歓日程を入力（平日） [4/1(水)],場所①での新歓日程を入力（平日） [4/2(木)],場所①での新歓日程を入力（平日） [4/3(金)],場所①での新歓日程を入力（平日） [4/6(月)],場所①での新歓日程を入力（平日） [4/7(火)],場所①での新歓日程を入力（平日） [4/8(水)],場所①での新歓日程を入力（平日） [4/9(木)],場所①での新歓日程を入力（平日） [4/10(金)],場所①での新歓日程を入力（平日） [4/13(月)],場所①での新歓日程を入力（平日） [4/14(火)],場所①での新歓日程を入力（平日） [4/15(水)],場所①での新歓日程を入力（平日） [4/16(木)],場所①での新歓日程を入力（平日） [4/17(金)],場所①での新歓日程を入力（平日） [4/20(月)],場所①での新歓日程を入力（平日） [4/21(火)],場所①での新歓日程を入力（平日） [4/22(水)],場所①での新歓日程を入力（平日） [4/23(木)],場所①での新歓日程を入力（平日） [4/24(金)],場所①での新歓日程を入力（平日） [4/27(月)],場所①での新歓日程を入力（平日） [4/28(火)],場所①での新歓日程を入力（平日） [4/29(水)],場所①での新歓日程を入力（平日） [4/30(木)],新歓の詳細説明・日程を入力（日程画像を入力した場合は不要）,団体説明を入力,新歓の開催場所①を入力,ハッシュタグを選択,備考,要望やメッセージなど,新歓の開催場所を入力②,場所②での新歓日程を入力（平日） [4/1(水)],場所②での新歓日程を入力（平日） [4/2(木)],場所②での新歓日程を入力（平日） [4/3(金)],場所②での新歓日程を入力（平日） [4/6(月)],場所②での新歓日程を入力（平日） [4/7(火)],場所②での新歓日程を入力（平日） [4/8(水)],場所②での新歓日程を入力（平日） [4/9(木)],場所②での新歓日程を入力（平日） [4/10(金)],場所②での新歓日程を入力（平日） [4/13(月)],場所②での新歓日程を入力（平日） [4/14(火)],場所②での新歓日程を入力（平日） [4/15(水)],場所②での新歓日程を入力（平日） [4/16(木)],場所②での新歓日程を入力（平日） [4/17(金)],場所②での新歓日程を入力（平日） [4/20(月)],場所②での新歓日程を入力（平日） [4/21(火)],場所②での新歓日程を入力（平日） [4/22(水)],場所②での新歓日程を入力（平日） [4/23(木)],場所②での新歓日程を入力（平日） [4/24(金)],場所②での新歓日程を入力（平日） [4/27(月)],場所②での新歓日程を入力（平日） [4/28(火)],場所②での新歓日程を入力（平日） [4/29(水)],場所②での新歓日程を入力（平日） [4/30(木)],新歓の開催場所を入力③,場所③での新歓日程を入力（平日） [4/1(水)],場所③での新歓日程を入力（平日） [4/2(木)],場所③での新歓日程を入力（平日） [4/3(金)],場所③での新歓日程を入力（平日） [4/6(月)],場所③での新歓日程を入力（平日） [4/7(火)],場所③での新歓日程を入力（平日） [4/8(水)],場所③での新歓日程を入力（平日） [4/9(木)],場所③での新歓日程を入力（平日） [4/10(金)],場所③での新歓日程を入力（平日） [4/13(月)],場所③での新歓日程を入力（平日） [4/14(火)],場所③での新歓日程を入力（平日） [4/15(水)],場所③での新歓日程を入力（平日） [4/16(木)],場所③での新歓日程を入力（平日） [4/17(金)],場所③での新歓日程を入力（平日） [4/20(月)],場所③での新歓日程を入力（平日） [4/21(火)],場所③での新歓日程を入力（平日） [4/22(水)],場所③での新歓日程を入力（平日） [4/23(木)],場所③での新歓日程を入力（平日） [4/24(金)],場所③での新歓日程を入力（平日） [4/27(月)],場所③での新歓日程を入力（平日） [4/28(火)],場所③での新歓日程を入力（平日） [4/29(水)],場所③での新歓日程を入力（平日） [4/30(木)],場所①の新歓日程を入力（土日） [4/4(土)],場所①の新歓日程を入力（土日） [4/5(日)],場所①の新歓日程を入力（土日） [4/11(土)],場所①の新歓日程を入力（土日） [4/12(日)],場所①の新歓日程を入力（土日） [4/18(土)],場所①の新歓日程を入力（土日） [4/19(日)],場所①の新歓日程を入力（土日） [4/25(土)],場所①の新歓日程を入力（土日） [4/26(日)],場所②の新歓日程を入力（土日） [4/4(土)],場所②の新歓日程を入力（土日） [4/5(日)],場所②の新歓日程を入力（土日） [4/11(土)],場所②の新歓日程を入力（土日） [4/12(日)],場所②の新歓日程を入力（土日） [4/18(土)],場所②の新歓日程を入力（土日） [4/19(日)],場所②の新歓日程を入力（土日） [4/25(土)],場所②の新歓日程を入力（土日） [4/26(日)],場所③の新歓日程を入力（土日） [4/4(土)],場所③の新歓日程を入力（土日） [4/5(日)],場所③の新歓日程を入力（土日） [4/11(土)],場所③の新歓日程を入力（土日） [4/12(日)],場所③の新歓日程を入力（土日） [4/18(土)],場所③の新歓日程を入力（土日） [4/19(日)],場所③の新歓日程を入力（土日） [4/25(土)],場所③の新歓日程を入力（土日） [4/26(日)],団体のSNSリンク（X）,本フォームへの回答は、掲載内容の誤りやトラブルを防ぐため、団体内で承認を得たうえで行ってください。,メールアドレス,普段の活動場所を選択,列 106
2026/04/01 1:32:54,テニスサークルLOVERS’,https://drive.google.com/open?id=1FLdrvJaTnGDLuasulZcNISFbO-qrcyto,https://www.instagram.com/omu_lovers.58?igsh=MXVqdTBtenl2bDFwbg==,https://drive.google.com/open?id=1-RCamhFK4IjlDpGgHRHSYosw3wFIYntH,,,"４限, ５限","４限, ５限",,,,"４限, ５限","４限, ５限",,,,"４限, ５限","４限, ５限",,,,"４限, ５限","４限, ５限",,,,,こんにちは！テニスサークルLOVERS’です！毎週月•金曜日の15時から17時に杉本キャンパス近くのコートで練習しています！話しやすいメンバーばかりなので絶対楽しいです！一回来てみてください！ぜひ一度来てみてください！テニスの通常新歓以外にも色々な新歓イベント用意しているのでこちらもよろしくお願いします！,杉本キャンパス,"上回生歓迎, ガチめ, ゆるめ, スポーツ, アウトドア",,"素敵なまとめをしてくださるようでとっても助かりますありがとうございます。
ぜひラバーズをよろしくお願いします🙇",学外,,,,,,"昼休み, ３限, ４限",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12:00, 13:00, 14:00, 15:00",,,,,,,,,,はい,,,
2026/04/01 10:29:48,硬式テニスサークル　まつぼっくり,https://drive.google.com/open?id=1exIr9GwICbdjepTDH36C7RTeLsJIoCcK,https://www.instagram.com/omu_mtb?igsh=Z20wbnVxYWdhb284&utm_source=qr,"https://drive.google.com/open?id=1UNDAsaD2oRnwSmX70k4m1jx5fQqwXmVc, https://drive.google.com/open?id=17gViZepMvCTeECoAEg7S0JlAVnl5pRDH",,,"４限, ５限, 放課後",,"４限, ５限, 放課後",,,,,"４限, ５限, 放課後",,,"４限, ５限, 放課後",,"４限, ５限, 放課後",,,"４限, ５限, 放課後",,,,,4/3〜5/8の火曜日と金曜日15-19時、金岡テニスコートで新歓を行います！4/10と4/28はお花見新歓です！大阪城公園で16-18時で行います！新歓への参加申込は新歓LINEグループにて行っています。LINEグループに入ったからといって新歓に必ず参加しなければいけないというわけではないので気軽に参加してください！新歓の詳細もLINEグループにて発信を行なっています！,硬式テニスサークルまつぼっくりです！初心者でも経験者でも大歓迎です！テニスが大好きな子も、ちょっと興味がある子も、おしゃべりを沢山したい子もぜひ新歓に来てください！,学外,"部室あり, スポーツ, アウトドア",,,学外,,,,,,,,"４限, ５限",,,,,,,,,,,,"４限, ５限",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://x.com/omu_mtb?s=21,はい,,,
2026/04/01 22:05:37,アカペラサークルONE BEENS,https://drive.google.com/open?id=19PHwAg_gKETO4OlMY6m5PzSVVPDXYkus,https://www.instagram.com/one_beens/,https://drive.google.com/open?id=1EXr2w-gbxqGz350R8Nq-p6blb9DxDTBt,,,,,,,,放課後,,,,,,放課後,,,,放課後,,,,,新歓ライブ 18:30-19:30 @中百舌鳥キャンパス　新歓カラオケ 13:00-17:00 @ジャンカラ京橋一号店　あそびーんず•ピクニック 12:00-17:00 @大泉緑地　アカペラ体験会 18:30-19:30 @中百舌鳥キャンパス　オンライン新歓 放課後（詳しい時間は未定）いずれも途中参加•退出OKです！少しでも気になったら覗きにきてください！,こんにちは！アカペラサークルONE BEENSです！みなさんアカペラはご存じですか？ メロディも、ハーモニーも、ベースも、ドラムの音さえも、全部声だけ。楽器を使わずに一人一人の声を重ねることで音楽を作ります。中百舌鳥キャンパスで月・金の18:30-21:00で活動しています！活動頻度は自分で決められるので勉強やバイト、他サークルとも両立が可能です🙆‍♀️,中百舌鳥キャンパス,"部室あり, 上回生歓迎, 芸術, 音楽, インドア, アウトドア",,よろしくお願いいたします！,学外,,,,,,,,,,,,,,,,,,,,,,,オンライン,,,,放課後,,放課後,,,放課後,,放課後,,放課後,,,放課後,,放課後,放課後,,放課後,,,,,,,,,,,,"12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00",,"12:00, 13:00, 14:00, 15:00, 16:00",,,"12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00",,,,,,,,,https://x.com/OneBeens,はい,,,
2026/04/01 22:28:32,大阪公立大学体育会弓道部中百舌鳥支部,https://drive.google.com/open?id=1ZWXlBMkMsr0stmJXMYwwJiiUGP-zmqh1,https://www.instagram.com/omu_kyudo.2026?igsh=eXd2enRsdW42eHE5&utm_source=qr,"https://drive.google.com/open?id=1FEVT8rOVDA5tzBG_lhy4v8EWoFQaegas, https://drive.google.com/open?id=1E7q051Q7Ms4BEKTXLJiJmctWMcC06ExQ","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後",,,試し引きは実際に弓を引いていただきます！雨天中止です😑,男女ともに関西学生リーグ2部に所属しています🔥中百舌鳥キャンパス和弓場で日々練習しています！私たちと一緒に弓を引きませんか？🏹,中百舌鳥キャンパス,"部室あり, ガチめ, スポーツ",,よろしくお願いします！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00","10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00","9:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00","10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00",,,,,,,,,,,,,,,,,,,,,https://x.com/omu_kyudo_n26?s=21,はい,,,
2026/04/02 0:32:49,競技スキー・スノーボード部,https://drive.google.com/open?id=1OhqOjI807zUODojB3bX5tmLZiwEvmVlB,@omuskisnowboard,https://drive.google.com/open?id=1hbraGQLramOifsXzqyEzGpQxmKg36fDv,,,,,,,,,,,,,,,"５限, 放課後",,"５限, 放課後",,,,,,,入生の皆さん！ こんにちは😊 大阪公立大学体育会競技スキー・スノーボード部です。 スキー・スノーボードの2部門で活動しています。 ⁡ スキー部門では、アルペンスキーに取り組んでいます。 アルペンスキーとは、コース上の旗門いかに早く滑り降りるかを競う競技です。 長野県をベースにプロのコーチに教えてもらいながら大会にむけて技術向上を目指します。 冬には北海道でも練習します。 他大学とも合同で練習するので、全国に仲間ができるし仲良くなれます！ また、練習終わりに温泉やグルメ、観光を楽しんだりすることもできます！ ⁡ スノーボード部門では、まず最初の目標に滑走技術の向上に向けカービングの基礎を身に着け、JSBAバッジテスト合格を掲げます。 新潟や長野のスキー場で滑ります。 知らない人に「あのボーダーかっこよくね？」と言われる滑りが身に付きます！  大学生活で何かに没頭したい人や楽しみたい人来たれ！ 白銀の世界で非日常を満喫しませんか？？ 男女ともに大歓迎、経験問いません（ほとんどの部員が未経験からのスタートです）。⁡,学外,"部室あり, 部費無料, 上回生歓迎, スポーツ, アウトドア",,,杉本キャンパス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00",,"9:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00",,"10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00",,,,,,,,,,,,,,,,,,@omuskisnowboard,はい,,,
2026/04/02 0:53:33,メディア部Hijicho,https://drive.google.com/open?id=1NezruWwuIrOlyHfvib8MdLvcgPNm9Mr7,@hijicho,https://drive.google.com/open?id=1VUzmss2zuSSD0ELhyo3Duqnoq7oJasIf,,,,,,,,,放課後,,放課後,,放課後,,,放課後,,,,,,,,SNSやwebサイトの制作・運営、広報誌制作が主な活動内容です！興味のある方はぜひ新歓にお越しください！,森之宮キャンパス,"部室あり, 部費無料, 上回生歓迎, ゆるめ, インドア",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@omu_hijicho,はい,,,
2026/04/02 14:24:27,大阪公立大学杉本ギターマンドリンクラブ,https://drive.google.com/open?id=1ezozHpL7KWmV_4w-RkUABliZUoOQRwmB,instagram.com/omu_sgmt_gmc,https://drive.google.com/open?id=1EIrmZhJMkovHtm48HONEiNR9pVkrWrI7,,,,,,,,,"５限, 放課後",,"５限, 放課後",,"５限, 放課後","５限, 放課後",,"５限, 放課後",,"５限, 放課後","５限, 放課後",,,,,主に杉本キャンパスの大音練、小音練で活動しています。活動は週3回(月・水・金)16:30~19:30に行っています。マンドリンやクラシックギター、コントラバスなどの様々な弦楽器での合奏を楽しむオーケストラです！,杉本キャンパス,"部室あり, 上回生歓迎, 音楽, インドア",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x.com/omu_sgmt_gmc3?s=21,はい,,,
2026/04/02 19:22:17,アメリカンフットボール部,https://drive.google.com/open?id=1pybH5Jh2J_Uv_hno0YLUNhnllz4LdwY4,https://www.instagram.com/paladins_shinkan?igsh=MTNlOXE1aDI4YXJ3cQ%3D%3D&utm_source=qr,https://drive.google.com/open?id=1y3qBDYyVl4RlDYU2eBSX_aVMUZ6qoEYx,,,,,,,,放課後,放課後,放課後,,,,,,,,,,,,,5日：タッチフット＠杉本芝グラウンド　8日：クイズ大会＠730　10日：ビンゴ大会＠403　11日：オリンピック＆女子会＠杉本芝グラウンド　12日：腕相撲＆ミニゲーム＠122　14日：ビンゴ大会＠403　17日：練習体験＠杉本芝グラウンド　18日：球技大会＠なかもずラグビー場　19日：タッチフット＠杉本グラウンド　22日：練習体験＠杉本芝グラウンド　25日：OB戦＠杉本芝グラウンド　26日：練習体験＠杉本芝グラウンド,大阪公立大学アメリカンフットボール部「PALADINS」です！選手55名、スタッフ29名の計84名で活動している学内最大規模の体育会部活です。一部昇格を目標に掲げ、日々活動しています。〇練習日時 授業期間 　火・水・金：授業後～20時 　土・日：9時～13時 長期休暇期間　 　火・水・金・土・日：9時～13時 〇練習場所 杉本キャンパス芝グラウンド 中百舌鳥キャンパスアメフト場 ※テスト期間中は、部員の試験対策を最優先に考え、活動日数や活動期間、活動形態を変更して練習を行っております。,森之宮キャンパス,"部室あり, ガチめ, スポーツ, アウトドア",,,杉本キャンパス,,,,,,"３限, ４限, ５限",,,,,,,"５限, 放課後",,,"５限, 放課後",,,,,,,中百舌鳥キャンパス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13:00, 14:00, 15:00, 16:00, 17:00, 18:00","15:00, 16:00, 17:00, 18:00, 19:00, 20:00","11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00",,"13:00, 14:00, 15:00, 16:00, 17:00, 18:00","14:00, 15:00, 16:00, 17:00, 18:00, 19:00","16:00, 17:00, 18:00, 19:00",,,,,"14:00, 15:00, 16:00, 17:00, 18:00, 19:00",,,,https://x.com/paladinsshinkan?s=21,はい,,,
2026/04/02 23:17:27,大阪公立大学競技麻雀サークル,https://drive.google.com/open?id=1JOAn3fpHenJLsXpCTYbR83RMAUqQjVw4,https://www.instagram.com/osakakoumj/,https://drive.google.com/open?id=1sKN22j-kTBUgzMUhqKvueF1vJ7x8ul9h,"１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後",,"１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後",,"１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後",,"１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後",,"１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後",,"１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後",,"１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後",,"１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後",,"１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後","１限, ２限目, 昼休み, ３限, ４限, ５限, 放課後",,平日にマーチャオξ天王寺店(https://maps.app.goo.gl/4Msh28kumncXm6kp6)で活動しております。対面で麻雀をやっており、初心者から経験者まで幅広く歓迎しています。,学外,"部費無料, 上回生歓迎, ゲーム, インドア",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://x.com/osakakoumj1,はい,,,
2026/04/02 23:45:38,森之宮を遊び場にする会,https://drive.google.com/open?id=1yY6W4X4J50JwcrbGU-iqiQZDQiy62jMg,https://www.instagram.com/enjoy_omu?igsh=emFiMHIzYWd0bTJk&utm_source=qr,https://drive.google.com/open?id=1gdisNVJCGTvhrgaX_6O5lE-xmLHg9Hs1,,,,,"３限, ４限, ５限, 放課後",,,,,,,,,,,,,,,,,,13:30より大阪城公園でお花見！軽食を食べたり、身体を動かしたり、お話したり、なんでもござれです！日が落ちてきたら希望者で近くの美味しいご飯屋さんを開拓しましょう！,新キャンパスのある森之宮を遊び場として位置付け、遊びの文化を一から創り上げていくことを目指す有志の会です。各々の予定が合う時に不定期に企画や遊びを開催しています！森之宮で遊びたい人なら誰でも大歓迎！,森之宮キャンパス,"部費無料, 上回生歓迎, ゆるめ, スポーツ, ゲーム, 芸術, 音楽, 勉強, インドア, アウトドア",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://x.com/enjoy_omu?s=21,はい,,,
